track_name,track_id,popularity,album_name,album_id,release_date,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,country
Dakiti,47EiUVwUp4C9fGccaPuUCS,100,Dakiti,43dl8hP5uNN9s6YeeJA5fv,2020-10-30,Bad Bunny,4q3ewBCX7sLwd24euuV69X,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,audio_features,47EiUVwUp4C9fGccaPuUCS,spotify:track:47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/tracks/47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/audio-analysis/47EiUVwUp4C9fGccaPuUCS,205090,4,"['latin', 'reggaeton', 'trap latino']",Colombia
Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,99,Mood (feat. iann dior),4YMnOf4a7obOcN1Gy2QEuM,2020-07-24,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,0.7,0.722,7,-3.5580000000000003,0,0.0369,0.221,0.0,0.272,0.7559999999999999,90.98899999999999,audio_features,3tjFYV6RSFtuktYl3ZtYcq,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/tracks/3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526,4,['cali rap'],Colombia
Dynamite,0t1kP63rueHleOhQkYSXFY,96,Dynamite (DayTime Version),6K4chJALBBMYmXjwgvqahx,2020-08-28,BTS,3Nrfpe0tUJi4K4DXYWgMUX,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,0t1kP63rueHleOhQkYSXFY,spotify:track:0t1kP63rueHleOhQkYSXFY,https://api.spotify.com/v1/tracks/0t1kP63rueHleOhQkYSXFY,https://api.spotify.com/v1/audio-analysis/0t1kP63rueHleOhQkYSXFY,199054,4,"['k-pop', 'k-pop boy group']",Colombia
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,96,After Hours,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",Colombia
positions,35mvY5S1H3J2QZyna3TFe0,96,Positions,3euz4vS7ezKGnNSwgyvKcd,2020-10-30,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,0.737,0.802,0,-4.771,1,0.0878,0.46799999999999997,0.0,0.0931,0.682,144.015,audio_features,35mvY5S1H3J2QZyna3TFe0,spotify:track:35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0,172325,4,"['pop', 'post-teen pop']",Colombia
Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q,95,Lonely (with benny blanco),3P5WIUJO0Ots1lQx09TOxk,2020-10-16,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,0.631,0.239,11,-7.071000000000001,0,0.0398,0.8640000000000001,0.0,0.11599999999999999,0.0927,79.859,audio_features,4y4spB9m0Q6026KfkAvy9Q,spotify:track:4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/tracks/4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/audio-analysis/4y4spB9m0Q6026KfkAvy9Q,149297,4,"['canadian pop', 'pop', 'post-teen pop']",Colombia
WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,95,WAP (feat. Megan Thee Stallion),2ogiazbrNEx0kQHGl5ZBTQ,2020-08-07,Cardi B,4kYSro6naA4h99UJvo89HB,0.935,0.45399999999999996,1,-7.5089999999999995,1,0.375,0.0194,0.0,0.0824,0.35700000000000004,133.07299999999998,audio_features,4Oun2ylbjFKMPTiaSbbCih,spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/tracks/4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4,"['pop', 'pop rap', 'rap']",Colombia
Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,94,Holy,4hR7jjsPvRwwcHx8ntJSQS,2020-09-18,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,0.6729999999999999,0.7040000000000001,6,-8.056000000000001,1,0.36,0.196,0.0,0.0898,0.37200000000000005,86.919,audio_features,5u1n1kITHCxxp8twBcZxWy,spotify:track:5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/tracks/5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/audio-analysis/5u1n1kITHCxxp8twBcZxWy,212093,4,"['canadian pop', 'pop', 'post-teen pop']",Colombia
Therefore I Am,54bFM56PmE4YLRnqpW6Tha,94,Therefore I Am,5G58VVE9ub1KE01Mvbd8XM,2020-11-12,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,audio_features,54bFM56PmE4YLRnqpW6Tha,spotify:track:54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/tracks/54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/audio-analysis/54bFM56PmE4YLRnqpW6Tha,174321,4,"['electropop', 'pop']",Colombia
Heather,4xqrdfXkTW4T0RauPLv3WA,93,Kid Krow,2CMlkzFI2oDAy5MbyV7OV5,2020-03-20,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,0.35700000000000004,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.07799999999999,audio_features,4xqrdfXkTW4T0RauPLv3WA,spotify:track:4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,198040,3,"['bedroom pop', 'electropop', 'indie pop', 'pop']",Colombia
Relación - Remix,35UUpTmrcFXNIVIN26ujXl,93,Relación (Remix),2O985DZAb4i6M6iu4HWqSX,2020-09-04,Sech,77ziqFxp5gaInVrF2lj4ht,0.7929999999999999,0.7709999999999999,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.94299999999998,audio_features,35UUpTmrcFXNIVIN26ujXl,spotify:track:35UUpTmrcFXNIVIN26ujXl,https://api.spotify.com/v1/tracks/35UUpTmrcFXNIVIN26ujXl,https://api.spotify.com/v1/audio-analysis/35UUpTmrcFXNIVIN26ujXl,247308,4,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",Colombia
Life Goes On,249gnXrbfmV8NG6jTEMSwD,93,BE,2qehskW9lYGWfYb0xPZkrS,2020-11-20,BTS,3Nrfpe0tUJi4K4DXYWgMUX,0.5660000000000001,0.716,1,-5.733,1,0.0424,0.0069099999999999995,0.0,0.37,0.45,81.068,audio_features,249gnXrbfmV8NG6jTEMSwD,spotify:track:249gnXrbfmV8NG6jTEMSwD,https://api.spotify.com/v1/tracks/249gnXrbfmV8NG6jTEMSwD,https://api.spotify.com/v1/audio-analysis/249gnXrbfmV8NG6jTEMSwD,207481,4,"['k-pop', 'k-pop boy group']",Colombia
Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,93,Laugh Now Cry Later (feat. Lil Durk),0qGdc7fNq9RNIPEzZufa43,2020-08-14,Drake,3TVXtAsR1Inumwj472S9r4,0.7609999999999999,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,audio_features,2SAqBLGA283SUiwJ3xOUVI,spotify:track:2SAqBLGA283SUiwJ3xOUVI,https://api.spotify.com/v1/tracks/2SAqBLGA283SUiwJ3xOUVI,https://api.spotify.com/v1/audio-analysis/2SAqBLGA283SUiwJ3xOUVI,261493,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Colombia
Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,93,Fine Line,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.5479999999999999,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,audio_features,6UelLqGlWMcVH1E5c4H7lY,spotify:track:6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,174000,4,"['pop', 'post-teen pop']",Colombia
ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,93,BLAME IT ON BABY,623PL2MBg50Br5dLXC9E9e,2020-04-17,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.746,0.69,11,-7.956,1,0.16399999999999998,0.247,0.0,0.10099999999999999,0.49700000000000005,89.977,audio_features,7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733,4,"['north carolina hip hop', 'rap']",Colombia
34+35,6Im9k8u9iIzKMrmV7BWtlF,92,Positions,3euz4vS7ezKGnNSwgyvKcd,2020-10-30,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,audio_features,6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,173711,4,"['pop', 'post-teen pop']",Colombia
UN DIA (ONE DAY) (Feat. Tainy),0EhpEsp4L0oRGM0vmeaN5e,92,UN DIA (ONE DAY) (Feat. Tainy),6aqSlutLYNpzSsK4dV5jTr,2020-07-24,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,0.5710000000000001,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.17300000000000001,0.39299999999999996,168.169,audio_features,0EhpEsp4L0oRGM0vmeaN5e,spotify:track:0EhpEsp4L0oRGM0vmeaN5e,https://api.spotify.com/v1/tracks/0EhpEsp4L0oRGM0vmeaN5e,https://api.spotify.com/v1/audio-analysis/0EhpEsp4L0oRGM0vmeaN5e,232253,4,"['latin', 'reggaeton', 'reggaeton colombiano']",Colombia
Wonder,5KCbr5ndeby4y4ggthdiAb,92,Wonder,7vif3nVzXURIrjGjHeHytB,2020-10-02,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,0.33299999999999996,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,audio_features,5KCbr5ndeby4y4ggthdiAb,spotify:track:5KCbr5ndeby4y4ggthdiAb,https://api.spotify.com/v1/tracks/5KCbr5ndeby4y4ggthdiAb,https://api.spotify.com/v1/audio-analysis/5KCbr5ndeby4y4ggthdiAb,172693,4,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",Colombia
Hawái,4uoR6qeWeuL4Qeu2qJzkuG,92,Hawái,3GrNH56DyfyEvBAZ3Otptm,2020-07-29,Maluma,1r4hJ1h58CWwUQe3MxPuau,0.787,0.728,6,-3.455,0,0.389,0.18899999999999997,2.2899999999999998e-05,0.0629,0.545,180.06599999999997,audio_features,4uoR6qeWeuL4Qeu2qJzkuG,spotify:track:4uoR6qeWeuL4Qeu2qJzkuG,https://api.spotify.com/v1/tracks/4uoR6qeWeuL4Qeu2qJzkuG,https://api.spotify.com/v1/audio-analysis/4uoR6qeWeuL4Qeu2qJzkuG,200198,4,"['reggaeton', 'reggaeton colombiano']",Colombia
La Curiosidad,4HYDUMY0xSpeBr0AMY9cUz,92,Platonicos,5sEpXan86hEcM8eZSAoWhw,2020-06-12,Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,0.845,0.677,11,-4.798,0,0.136,0.26899999999999996,0.000917,0.10800000000000001,0.68,90.01299999999999,audio_features,4HYDUMY0xSpeBr0AMY9cUz,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,https://api.spotify.com/v1/tracks/4HYDUMY0xSpeBr0AMY9cUz,https://api.spotify.com/v1/audio-analysis/4HYDUMY0xSpeBr0AMY9cUz,219048,4,"['latin', 'reggaeton', 'trap latino']",Colombia
BICHOTA,7vrJn5hDSXRmdXoR30KgF1,92,BICHOTA,6LO6I2uJMkc0u7GHBYHa4Y,2020-10-23,KAROL G,790FomKkXshlbRYZFtlgla,0.863,0.6659999999999999,1,-4.158,0,0.152,0.212,0.000493,0.10300000000000001,0.838,163.908,audio_features,7vrJn5hDSXRmdXoR30KgF1,spotify:track:7vrJn5hDSXRmdXoR30KgF1,https://api.spotify.com/v1/tracks/7vrJn5hDSXRmdXoR30KgF1,https://api.spotify.com/v1/audio-analysis/7vrJn5hDSXRmdXoR30KgF1,178947,4,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",Colombia
La Tóxica,15OjBeqNX3bShsGYQbteRv,92,La Tóxica,1R0ocprmeDu8ZkZn29xYFx,2020-07-24,Farruko,329e4yvIujISKGKz1BZZbO,0.659,0.701,9,-4.107,1,0.16399999999999998,0.0882,0.0,0.0866,0.623,91.97,audio_features,15OjBeqNX3bShsGYQbteRv,spotify:track:15OjBeqNX3bShsGYQbteRv,https://api.spotify.com/v1/tracks/15OjBeqNX3bShsGYQbteRv,https://api.spotify.com/v1/audio-analysis/15OjBeqNX3bShsGYQbteRv,180520,4,"['latin', 'reggaeton', 'trap latino', 'tropical']",Colombia
Se Te Nota (with Guaynaa),11EnQRgRMJwMAesfkB5pnu,92,Se Te Nota (with Guaynaa),4XiHCUNnGgnnN5xkGue4RF,2020-09-02,Lele Pons,6i3DxIlAqnDkwELLw4aVrx,0.905,0.6859999999999999,0,-3.1519999999999997,1,0.0664,0.0907,0.0,0.266,0.963,103.01299999999999,audio_features,11EnQRgRMJwMAesfkB5pnu,spotify:track:11EnQRgRMJwMAesfkB5pnu,https://api.spotify.com/v1/tracks/11EnQRgRMJwMAesfkB5pnu,https://api.spotify.com/v1/audio-analysis/11EnQRgRMJwMAesfkB5pnu,155825,4,"['latin pop', 'viral pop']",Colombia
"Ay, DiOs Mío!",7x4ASXYEKfQBCewcZhK776,91,"Ay, DiOs Mío!",1mMUBQXa70gHyUjK0Q0u63,2020-07-10,KAROL G,790FomKkXshlbRYZFtlgla,0.718,0.7120000000000001,11,-4.3660000000000005,1,0.174,0.512,0.00121,0.10400000000000001,0.531,180.03400000000002,audio_features,7x4ASXYEKfQBCewcZhK776,spotify:track:7x4ASXYEKfQBCewcZhK776,https://api.spotify.com/v1/tracks/7x4ASXYEKfQBCewcZhK776,https://api.spotify.com/v1/audio-analysis/7x4ASXYEKfQBCewcZhK776,189653,4,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",Colombia
Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,91,Midnight Sky,7z5fmW3FDD6jlpJtwMXV51,2020-08-14,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,0.705,0.8140000000000001,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,audio_features,27ycaQnQAxaPiyeg3nr2aB,spotify:track:27ycaQnQAxaPiyeg3nr2aB,https://api.spotify.com/v1/tracks/27ycaQnQAxaPiyeg3nr2aB,https://api.spotify.com/v1/audio-analysis/27ycaQnQAxaPiyeg3nr2aB,223279,4,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",Colombia
Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,91,Savage Love (Laxed - Siren Beat),1XMw3pBrYeXzNXZXc84DNw,2020-06-11,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,0.767,0.48100000000000004,0,-8.52,0,0.0803,0.23399999999999999,0.0,0.26899999999999996,0.7609999999999999,150.076,audio_features,1xQ6trAsedVPCdbtDAmk0c,spotify:track:1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,171375,4,['nz pop'],Colombia
Breaking Me,3H7ihDc1dqLriiWXwsc2po,91,Breaking Me,3nBQlhUvErkw8DVpF47WAn,2019-12-19,Topic,0u6GtibW46tFX7koQ6uNJZ,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,audio_features,3H7ihDc1dqLriiWXwsc2po,spotify:track:3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/tracks/3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/audio-analysis/3H7ihDc1dqLriiWXwsc2po,166794,4,"['edm', 'german dance', 'pop dance', 'pop edm', 'tropical house']",Colombia
Vida de Rico,73nAK3HgQK8dak83Y2WQ8F,91,Vida de Rico,0MmIH2uM4bUsF5VbEkCKzT,2020-09-21,Camilo,28gNT5KBp7IjEOQoevXf9N,0.8240000000000001,0.457,6,-5.428,1,0.0543,0.16699999999999998,0.0,0.040999999999999995,0.95,87.977,audio_features,73nAK3HgQK8dak83Y2WQ8F,spotify:track:73nAK3HgQK8dak83Y2WQ8F,https://api.spotify.com/v1/tracks/73nAK3HgQK8dak83Y2WQ8F,https://api.spotify.com/v1/audio-analysis/73nAK3HgQK8dak83Y2WQ8F,187427,4,"['colombian pop', 'reggaeton colombiano']",Colombia
Jeans,3GtnId3Cm1Xa6joCj08nzW,91,Jeans,2CihHxhe77TEB6YEWBRVru,2020-08-14,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,0.807,0.6559999999999999,3,-4.395,0,0.105,0.0165,0.0,0.0693,0.89,83.943,audio_features,3GtnId3Cm1Xa6joCj08nzW,spotify:track:3GtnId3Cm1Xa6joCj08nzW,https://api.spotify.com/v1/tracks/3GtnId3Cm1Xa6joCj08nzW,https://api.spotify.com/v1/audio-analysis/3GtnId3Cm1Xa6joCj08nzW,185840,4,"['latin', 'reggaeton', 'trap latino']",Colombia
Una Locura,5y7DaS3jAc9eZzcSOoUIwU,91,ENOC,69iuPQsXel3luOSDNF0q2Q,2020-09-04,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,0.7140000000000001,0.7609999999999999,5,-4.596,0,0.0427,0.139,0.00035,0.24100000000000002,0.9059999999999999,168.02200000000002,audio_features,5y7DaS3jAc9eZzcSOoUIwU,spotify:track:5y7DaS3jAc9eZzcSOoUIwU,https://api.spotify.com/v1/tracks/5y7DaS3jAc9eZzcSOoUIwU,https://api.spotify.com/v1/audio-analysis/5y7DaS3jAc9eZzcSOoUIwU,230693,4,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",Colombia
La Nota,7ndTONDDRFGiPnnhOzOXxq,91,La Nota,61qU7ompl7BKKGEgsbO4Ly,2020-10-08,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,0.736,0.632,11,-4.939,0,0.0648,0.18,0.0,0.349,0.503,92.03,audio_features,7ndTONDDRFGiPnnhOzOXxq,spotify:track:7ndTONDDRFGiPnnhOzOXxq,https://api.spotify.com/v1/tracks/7ndTONDDRFGiPnnhOzOXxq,https://api.spotify.com/v1/audio-analysis/7ndTONDDRFGiPnnhOzOXxq,216107,4,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'tropical']",Colombia
POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,90,POPSTAR (feat. Drake),5nNtpPsSUgb9Hlb3dF1gXa,2020-07-17,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,0.8,0.56,5,-4.8180000000000005,0,0.261,0.057,0.0,0.134,0.45,163.071,audio_features,6EDO9iiTtwNv6waLwa1UUq,spotify:track:6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/tracks/6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/audio-analysis/6EDO9iiTtwNv6waLwa1UUq,200221,4,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Colombia
Parce (feat. Justin Quiles),4RJz8NfIe09gpKMiRUWKhJ,90,PAPI JUANCHO,0p2yf6DucEgvj8Uk8KXJJv,2020-08-21,Maluma,1r4hJ1h58CWwUQe3MxPuau,0.691,0.7390000000000001,5,-3.09,0,0.22899999999999998,0.42200000000000004,3.95e-06,0.11,0.884,83.897,audio_features,4RJz8NfIe09gpKMiRUWKhJ,spotify:track:4RJz8NfIe09gpKMiRUWKhJ,https://api.spotify.com/v1/tracks/4RJz8NfIe09gpKMiRUWKhJ,https://api.spotify.com/v1/audio-analysis/4RJz8NfIe09gpKMiRUWKhJ,248345,4,"['reggaeton', 'reggaeton colombiano']",Colombia
Roses - Imanbek Remix,24Yi9hE78yPEbZ4kxyoXAI,90,Roses (Imanbek Remix),3GqSdhWjmMypMwPLtzoFYs,2019-10-09,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,0.77,0.7240000000000001,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,audio_features,24Yi9hE78yPEbZ4kxyoXAI,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,https://api.spotify.com/v1/tracks/24Yi9hE78yPEbZ4kxyoXAI,https://api.spotify.com/v1/audio-analysis/24Yi9hE78yPEbZ4kxyoXAI,176840,4,"['melodic rap', 'pop rap', 'rap']",Colombia
Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,90,Monster,3yVVL2EYLp8g7gT08VvYKy,2020-11-20,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,0.652,0.38299999999999995,2,-7.0760000000000005,0,0.0516,0.0676,0.0,0.0828,0.5489999999999999,145.765,audio_features,2Z8yfpFX0ZMavHkcIeHiO1,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,https://api.spotify.com/v1/tracks/2Z8yfpFX0ZMavHkcIeHiO1,https://api.spotify.com/v1/audio-analysis/2Z8yfpFX0ZMavHkcIeHiO1,178994,4,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",Colombia
death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,90,death bed (coffee for your head),2p9gK2BcdrloHNJwarc9gc,2020-02-08,Powfu,6bmlMHgSheBauioMgKv2tn,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,audio_features,7eJMfftS33KTjuF7lTsMCx,spotify:track:7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/tracks/7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/audio-analysis/7eJMfftS33KTjuF7lTsMCx,173333,4,['sad rap'],Colombia
All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,90,Merry Christmas,61ulfFSmmxMhc2wCdmdMkN,1994-11-01,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,0.336,0.627,7,-7.462999999999999,1,0.0384,0.16399999999999998,0.0,0.0708,0.35,150.273,audio_features,0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107,4,"['dance pop', 'pop', 'r&b', 'urban contemporary']",Colombia
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,90,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,2019-05-17,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,audio_features,7qEHsqek33rTcFNT9PFqLf,spotify:track:7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,182161,4,"['pop', 'uk pop']",Colombia
"Lemonade (feat. Gunna, Don Toliver & NAV)",7hxHWCCAIIxFLCzvDgnQHX,90,B4 The Storm,2vGU0DOcfsDee0euvhl1iZ,2020-08-28,Internet Money,6MPCFvOQv5cIGfw3jODMF0,0.8,0.6579999999999999,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,audio_features,7hxHWCCAIIxFLCzvDgnQHX,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,https://api.spotify.com/v1/tracks/7hxHWCCAIIxFLCzvDgnQHX,https://api.spotify.com/v1/audio-analysis/7hxHWCCAIIxFLCzvDgnQHX,195429,4,"['pop rap', 'rap', 'trap']",Colombia
Mi Niña,2bgcUk2A3jjKbCJ7KPquTi,90,Mi Niña,5F7rUv9XZPAnNfeKCYkqZS,2020-09-23,Wisin,3E6xrwgnVfYCrCs0ePERDz,0.823,0.821,8,-3.4019999999999997,0,0.166,0.31,4.28e-06,0.14300000000000002,0.7909999999999999,99.999,audio_features,2bgcUk2A3jjKbCJ7KPquTi,spotify:track:2bgcUk2A3jjKbCJ7KPquTi,https://api.spotify.com/v1/tracks/2bgcUk2A3jjKbCJ7KPquTi,https://api.spotify.com/v1/audio-analysis/2bgcUk2A3jjKbCJ7KPquTi,213314,4,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",Colombia
Hawái - Remix,0GzuHFG4Ql6DoyxFRnIk3F,90,Hawái (Remix),1Ag9EPbzibwzz0S0WpgX3v,2020-11-05,Maluma,1r4hJ1h58CWwUQe3MxPuau,0.7659999999999999,0.7879999999999999,6,-3.128,0,0.312,0.105,5.81e-06,0.142,0.609,179.984,audio_features,0GzuHFG4Ql6DoyxFRnIk3F,spotify:track:0GzuHFG4Ql6DoyxFRnIk3F,https://api.spotify.com/v1/tracks/0GzuHFG4Ql6DoyxFRnIk3F,https://api.spotify.com/v1/audio-analysis/0GzuHFG4Ql6DoyxFRnIk3F,200482,4,"['reggaeton', 'reggaeton colombiano']",Colombia
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,89,lovely (with Khalid),2sBB17RXTamvj7Ncps15AK,2018-04-19,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,0.35100000000000003,0.29600000000000004,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.28399999999999,audio_features,0u2P5u6lvoDfwTYjAADbn4,spotify:track:0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,200186,4,"['electropop', 'pop']",Colombia
